# Object: Jupiter
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
4.10788,0.77841,34.56493,698.20080
4.12572,0.89610,17.79753,538.88970
4.14122,1.18783,18.33807,602.25690
4.15876,0.94342,20.54839,-598.83110
4.18084,0.99077,5.94426,111.07440
4.20888,1.15964,15.05749,489.23390
4.22684,0.85067,19.96215,381.35750
4.24317,0.95732,7.77631,-250.81210
4.25768,0.88075,4.88998,-96.42108
4.27345,1.33938,30.03608,189.93300
4.28900,0.82567,31.05654,616.88710
4.30582,0.90575,3.52861,39.95415
4.32882,1.41346,34.72025,-986.61820
4.34356,0.72155,35.97522,110.80520
4.36281,1.28198,34.54142,-301.64470
4.37906,0.84303,26.71029,-716.05550
4.39554,0.97749,10.34590,-6.93928
4.40975,0.87925,7.12833,210.23880
4.42554,0.97524,11.12900,-42.27043
4.43979,0.99088,14.19842,-310.96950
4.45380,1.36443,26.74591,262.36000
4.46907,0.82535,37.83923,850.73160
4.48590,0.93275,13.57783,277.96150
4.50079,0.91058,19.01525,-456.29180
4.51604,1.35775,36.37519,-1171.54000
4.53139,0.87120,30.54329,-318.15940
4.54733,1.12456,16.01273,-526.68100
4.56585,0.82745,29.99509,-839.73390
4.58264,0.90835,13.47863,191.99630
4.59793,1.26993,25.13891,536.41160
4.61433,0.71315,28.85811,-518.08970
4.63381,0.97287,19.91182,656.99060
4.64809,1.34374,25.37895,552.74380
4.66359,0.87540,29.52105,-342.04460
4.67946,0.94286,4.58496,-123.46830
4.69419,0.88274,13.64729,94.96027
4.70992,0.91764,7.37726,238.47960
4.72506,1.32277,26.11209,533.41060
4.74081,0.83363,29.35724,106.03530
4.75747,1.23893,26.84477,114.59950
4.77428,0.80510,26.04349,-36.39239
4.79153,0.86460,6.84228,-189.05180
4.80760,1.19428,14.37341,-285.52400
4.83086,0.77508,26.16614,-682.19090
4.84878,0.94268,11.37801,297.64490
4.86351,0.98891,10.15261,-18.70235
4.87755,1.40866,28.55054,-929.95000
4.89234,0.84033,34.81193,-1016.97100
4.90887,0.84733,4.68151,-53.29428
4.92526,0.94540,6.73943,221.87520
4.93995,1.40318,34.16913,360.48790
4.95480,0.88396,33.09112,-824.67550
4.97051,0.80696,5.09314,-146.07620
4.98772,1.25813,29.29010,-903.21280
5.00428,0.91331,32.30585,-435.92670
5.01949,0.90730,1.80047,50.82106
5.03480,0.92680,14.62407,212.40110
5.04978,0.89490,6.98361,-173.45690
5.06530,1.45911,44.54941,-814.13480
5.07958,0.82211,41.25178,-245.28900
5.09648,0.90815,7.06364,222.99910
5.11177,0.91329,15.72348,179.19980
5.12698,0.97612,9.09882,-291.87190
5.14121,1.31078,29.00915,-638.83540
5.15710,0.72705,33.64468,-1088.86000
5.17620,1.14835,23.24506,-342.20800
5.19435,1.22557,34.94656,-361.21880
5.21134,0.76305,25.41124,109.46800
5.22955,0.90289,9.09247,-286.33310
5.24493,0.96973,24.53446,179.46300
5.25925,0.96826,0.43959,10.74998
5.27360,1.44528,33.73229,-778.87300
5.28801,0.86331,38.75386,-1266.68100
5.30410,0.96198,10.58463,194.00450
5.31854,0.89515,5.15995,94.30521
5.34181,1.26174,23.65398,305.18720
5.35832,0.85142,25.32078,-313.73100
5.37463,0.87125,1.28894,-42.02543
5.39058,1.10787,12.50426,-409.01760
5.41565,0.86798,10.15811,16.27857
5.43965,1.14858,12.27634,324.89850
5.46384,1.05222,4.41586,47.82151
5.49024,0.87955,9.39988,278.24760
5.51392,0.96973,19.64188,-579.88870
5.53541,1.04099,7.13035,-223.13270
5.56209,1.12806,43.75957,-170.51320
5.58056,0.87791,17.50505,-544.09250
5.59638,1.17336,19.93964,-358.56050
5.61413,0.85839,24.25187,-794.45970
5.63031,0.92089,8.33762,-26.27610
5.64539,0.87477,2.99817,81.98029
5.66127,1.32564,31.07618,1016.87800
5.67699,0.89306,27.82085,141.13390
5.69254,0.90347,3.58190,-112.18790
5.70791,0.88384,14.12947,-304.47240
5.72363,1.30875,26.69902,-109.54150
5.73955,0.77701,31.25460,-364.31530
5.75742,1.25850,29.09468,-194.80290
5.77397,0.78057,27.61554,-343.49840
5.79177,1.13987,21.52184,-698.51060
5.81004,0.79657,19.68966,-632.18950
5.82748,0.99176,11.65503,326.92380
5.84849,1.27254,17.15421,380.13130
5.86486,0.87068,29.45343,-275.74830
5.88081,0.96200,6.34375,-154.83270
5.89525,0.90343,4.61557,82.48287
