# Object: Earth
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
3.96775,1.24954,77.35240,8.01574
3.98600,1.50128,180.60850,10.38427
4.00091,0.58907,95.25106,2.52066
4.02217,1.13858,16.14155,-0.34662
4.05665,1.23781,17.85407,-1.53058
4.07443,0.46227,107.58120,9.36319
4.08817,0.70025,55.54795,-5.77874
4.10206,0.50536,19.78171,1.22171
4.11730,0.89948,39.95308,4.16449
4.13353,1.70356,71.07153,-3.09062
4.14700,1.72035,28.10573,-2.17672
4.16273,0.68144,87.53857,6.06153
4.17619,0.50229,35.92123,1.94487
4.19463,1.53704,91.50398,6.57258
4.21078,0.95476,150.54070,5.25227
4.22518,0.86124,62.76321,-6.60407
4.23981,1.39802,110.09050,-1.44506
4.25460,0.86427,112.84570,11.76334
4.26941,0.59624,52.24987,0.69019
4.28552,1.55332,63.60727,1.08874
4.30198,0.69213,110.01270,-9.46586
4.31813,1.41053,44.09364,-3.70285
4.33474,0.85430,49.71064,-0.16563
4.34911,0.86919,83.61502,6.96083
4.36518,1.63161,145.11800,13.42245
4.37999,0.71536,125.22630,5.10874
4.39672,1.33754,99.72354,-4.47608
4.41228,0.95363,27.16025,-2.37447
4.42713,0.45774,79.48645,8.10205
4.44210,0.27875,14.64933,-1.17045
4.45691,1.02596,78.24726,-4.58817
4.47171,0.72784,26.10273,2.73798
4.48648,0.30691,28.48942,-1.50666
4.50194,0.29208,6.82661,-0.01032
4.51684,0.21649,15.59266,1.51396
4.53289,0.26646,4.56994,-0.39939
4.55622,0.30265,5.57023,-0.12120
4.57384,0.40312,11.29916,1.09850
4.58909,0.57452,18.17649,1.87383
4.60734,0.39869,23.56585,-0.21815
4.62369,0.43155,9.59375,-0.91308
4.63924,0.49123,11.29278,1.10893
4.65409,22.51661,1574.11300,63.52281
4.66867,0.48788,1455.55800,134.03630
4.68443,0.54393,4.40000,-0.41452
4.69939,23.40754,1618.11000,-106.64460
4.71355,0.58283,1515.35900,-85.68336
4.72880,0.52693,10.11370,1.06109
4.74367,0.65903,20.23187,-1.79789
4.75799,0.60471,16.31290,1.45459
4.77142,0.72750,25.20544,-1.63027
4.78514,0.65984,47.55805,1.80293
4.79890,0.99413,29.47986,-0.27941
4.81668,0.78489,45.00331,4.52494
4.83232,0.52904,33.21886,2.77057
4.84903,0.67915,23.06714,-2.43173
4.86336,0.73483,55.24731,4.50373
4.87747,0.65879,26.47188,-2.41024
4.89059,0.77438,28.72038,-1.65041
4.90601,1.20107,35.94678,1.27583
4.92162,0.55560,82.40722,7.77227
4.93722,0.53953,4.75970,-0.31226
4.95275,2.15707,139.66070,-14.74809
4.96749,0.72471,107.84050,7.76550
4.98189,0.90410,17.70725,1.72931
4.99752,0.64767,25.06809,-1.31271
5.01294,0.65801,8.48153,0.21372
5.03181,0.75433,16.19699,-1.67161
5.04716,0.67181,7.18344,-0.08193
5.07144,0.59705,12.94988,0.32227
5.09405,0.94322,18.71078,1.48920
5.12075,0.73051,16.85569,1.22997
5.13827,0.64124,5.95806,-0.05768
5.15489,0.64001,5.34878,-0.20046
5.16891,0.60142,19.07554,1.79491
5.18341,1.21281,87.04502,0.06126
5.19877,0.55641,57.50480,-2.99346
5.21303,0.46755,28.43641,1.81967
5.22960,0.90090,46.37223,2.65216
5.24702,1.74308,89.79460,9.27254
5.26168,0.50499,136.36310,-12.39216
5.27639,0.49903,48.17311,-0.30666
5.29161,3.10049,170.76510,-6.17353
5.30730,0.79421,156.54750,15.98058
5.32250,0.32392,55.47076,0.49917
5.33860,0.37820,11.44141,-1.20746
5.35474,3.42524,237.51820,-23.62539
5.37031,3.00351,63.68139,-3.38714
5.38655,3.24578,65.53838,0.05416
5.40248,1.74111,91.95181,4.01318
5.41924,3.12508,88.01363,7.96413
5.43663,2.69313,49.60498,3.89196
5.45240,1.02338,115.09400,9.33368
5.46757,0.61302,29.95138,-2.93973
5.48252,0.62654,58.92591,-4.57870
5.49879,0.27303,24.66600,1.41428
5.51556,0.33967,9.51451,0.02481
5.53043,0.25538,6.18842,-0.55754
5.54613,0.35546,9.40163,0.98347
5.56109,0.51715,9.91244,-1.03148
5.58381,0.52286,25.47883,-0.60674
5.59975,0.64100,43.30951,4.01992
5.61433,0.50614,12.34035,-1.24003
5.62912,0.33907,11.55948,-1.20410
5.64706,1.04976,46.60403,-1.68370
5.66269,0.67254,28.13057,1.71229
5.67639,0.45238,19.33110,-2.01399
5.69128,0.53767,12.22368,1.17680
5.70568,0.62467,12.90004,0.70176
5.72149,0.68007,3.56426,-0.15756
5.73786,0.43762,25.97151,-0.90343
5.75275,0.49371,5.28009,0.54274
5.76852,0.44414,7.29434,-0.59920
5.78293,0.71271,21.96836,0.46838
5.79715,0.42148,21.04000,2.20933
5.81339,0.86271,28.24351,0.95397
5.82920,0.46079,22.77409,0.65040
5.84741,0.39675,12.29158,-1.19337
5.86377,0.53454,12.75136,0.24778
5.87875,0.59986,19.16617,0.77159
5.89302,0.92880,41.46322,-4.32114
5.90737,0.56225,28.22080,1.25448
5.92275,0.40247,28.01207,2.90548
5.93925,2.81769,189.80800,17.76210
5.95437,0.76963,127.86610,0.41109
5.97045,0.47087,56.49810,-5.16361
5.98562,2.76210,196.28130,-15.20382
6.00085,3.01430,44.91972,-1.39774
6.01558,0.91116,140.90060,14.34649
6.03067,0.88201,7.41718,0.71556
6.04823,0.28203,58.37144,0.69308
6.06425,2.22631,97.36092,0.18509
6.08788,2.28317,35.72252,-0.58167
6.10345,2.17552,30.44299,-0.72058
6.11923,0.20755,156.73610,10.49689
6.13285,3.30038,226.04600,22.30786
6.14748,1.83064,96.61721,9.79106
6.16278,0.64243,56.62519,-2.92882
6.18398,0.91488,11.71555,0.20361
6.20898,1.60700,45.08561,-1.76431
6.22604,0.21016,109.98720,4.01314
6.24032,0.25129,3.12492,-0.32999
6.25636,1.98111,108.35030,-9.39298
6.27315,1.73224,57.60450,-5.45905
6.28919,0.13714,101.06750,2.94325
6.30501,2.02860,111.40280,-5.95923
6.32202,1.67248,26.60186,1.80913
6.33671,1.45223,16.28688,1.71938
6.35213,0.90022,38.01593,-0.71154
6.36700,1.69395,48.34142,2.25303
6.38409,1.98948,28.54530,-1.54962
6.39883,1.30085,46.33092,-4.80957
6.41392,2.46026,83.82265,-0.98061
6.42800,0.51552,124.69100,13.16644
6.44373,1.21464,43.47656,4.58093
6.46063,2.23808,82.39285,3.31509
6.47488,2.31945,19.19058,-1.62316
6.48899,1.44663,62.42004,-5.23550
6.50382,2.19046,57.45244,-5.24389
6.51984,1.51808,51.45102,0.46416
6.53481,2.33620,74.62778,5.02520
6.54980,2.72897,101.42500,10.37886
6.56455,1.60216,84.37789,4.20317
6.58736,2.07994,32.30727,2.30610
6.60361,2.55458,62.63906,6.61460
6.62027,2.53038,217.92110,16.91656
6.63497,1.85994,183.31400,0.19238
6.65004,1.00157,62.19555,-2.75232
6.66658,1.39709,51.87154,-4.01068
6.68265,0.91042,49.17052,-5.16263
6.69877,1.42566,58.21553,5.22327
6.71206,1.07427,49.31836,0.01191
6.72621,1.30057,46.08168,-4.76267
6.74055,1.11811,77.46413,5.48232
6.75468,1.34167,88.29517,9.11814
6.76995,2.14126,67.35964,2.73714
6.78462,0.90970,132.97840,-13.31527
6.79965,2.52250,128.94300,-13.58721
6.81497,2.39465,99.69016,-10.50275
6.83052,1.05603,137.94400,5.06831
6.84505,1.51880,71.82872,6.22042
6.85911,1.70822,11.94750,0.87135
6.87511,1.59131,17.64911,0.40926
6.89078,1.28291,25.95404,-1.92091
6.90618,2.00128,50.36340,-3.04494
6.92239,1.71335,32.38927,0.19634
6.93951,1.65429,15.46060,0.38668
6.95605,1.80435,44.06913,-4.62077
6.97004,1.22155,46.15337,-3.96197
6.98586,0.89001,55.03249,1.94546
7.00141,1.07323,35.20137,3.65040
7.01652,1.52169,36.75180,3.86342
7.03309,1.39081,19.15719,-1.07795
7.04700,2.02620,62.25326,-6.33388
7.06204,1.86523,16.34575,1.71267
7.08167,1.52844,40.32930,1.44383
7.10489,1.12547,111.97530,11.48973
7.12317,5.07619,372.34500,38.95145
