Time,Value
3.236297,-0.09456321
3.266931,-0.1250107
3.300311,-0.1580526
3.331355,-0.1886258
3.359409,-0.2160977
3.390695,-0.2465342
3.420368,-0.2751787
3.452877,-0.3062813
3.482421,-0.3342681
3.512677,-0.3626266
3.543344,-0.3910313
3.575101,-0.4200573
3.606865,-0.4486666
3.652461,-0.4889345
3.687214,-0.5189494
3.722624,-0.5488862
3.757222,-0.5774726
3.786904,-0.6014471
3.817974,-0.6259754
3.852312,-0.6523792
3.883807,-0.6759216
3.907506,-0.6931952
3.931903,-0.7105719
3.954856,-0.7265337
3.978739,-0.7427354
4.002561,-0.7584738
4.024872,-0.7728243
4.046079,-0.7861076
4.07012,-0.8007386
4.093857,-0.8147307
4.117216,-0.8280516
4.158492,-0.8504812
4.183638,-0.8634377
4.206481,-0.8747348
4.228436,-0.8851628
4.25019,-0.895074
4.273438,-0.9051978
4.29391,-0.9137079
4.315822,-0.9223925
4.338078,-0.93076
4.362068,-0.9392627
4.385896,-0.947173
4.409513,-0.9544826
4.431821,-0.9608984
4.455751,-0.9672489
4.479383,-0.9729767
4.501315,-0.9778065
4.525072,-0.9825073
4.549372,-0.9867421
4.574377,-0.9904914
4.597259,-0.9933798
4.620948,-0.9958222
4.659538,-0.9986037
4.696946,-0.9998808
4.720078,-0.9999704
4.744417,-0.9994872
4.767918,-0.9984587
4.792572,-0.996787
4.816263,-0.99461
4.839406,-0.9919443
4.864001,-0.9885288
4.887984,-0.9846228
4.912693,-0.9800062
4.935371,-0.9752424
4.956914,-0.9702523
4.978875,-0.9647022
5.002713,-0.9581511
5.02522,-0.9514661
5.048203,-0.9441424
5.07141,-0.9362413
5.093909,-0.9280998
5.119451,-0.9182881
5.143643,-0.9084423
5.184423,-0.8906451
5.210995,-0.8782499
5.234058,-0.8669885
5.259836,-0.853856
5.284234,-0.8409041
5.307255,-0.8282237
5.33038,-0.8150441
5.353935,-0.8011717
5.376077,-0.7877256
5.402555,-0.7711406
5.426491,-0.7556815
5.450276,-0.7398914
5.484251,-0.7166135
5.529914,-0.6840284
5.566599,-0.6568145
5.599822,-0.631405
5.631434,-0.6065793
5.66485,-0.5796793
5.712752,-0.5399969
5.749504,-0.5087061
5.783982,-0.478726
5.814594,-0.4516301
5.846257,-0.4231581
5.878341,-0.3938755
5.909241,-0.3652898
5.940464,-0.3360509
5.970486,-0.3076285
6.002665,-0.2768556
6.036088,-0.24459
6.063975,-0.2174586
6.09456,-0.1875086
6.123066,-0.159436
6.152062,-0.1307475
6.182416,-0.1005984
6.227018,-0.0561379
6.258682,-0.0245006
6.290833,0.007648091
6.322331,0.03913565
6.361354,0.07808946
6.391678,0.1082803
6.422793,0.1391546
6.454648,0.1706238
6.485337,0.2007775
6.516708,0.2314064
6.550693,0.2643282
6.585323,0.2975621
6.617489,0.3281118
6.647371,0.3561883
6.675716,0.3825282
6.703782,0.4083053
6.748877,0.449041
6.7836,0.4797897
6.81432,0.5065117
6.841208,0.5295095
6.870094,0.5537899
6.899386,0.5779392
6.928341,0.6013231
6.956764,0.6237872
6.985881,0.6462774
7.01567,0.668719
7.041876,0.6879721
7.074361,0.7111802
7.105566,0.7327676
7.13698,0.7537792
7.182379,0.7828256
7.215026,0.8027192
7.264617,0.8312942
7.29965,0.8502523
7.327318,0.864489
7.354884,0.8780147
7.383467,0.891335
7.411583,0.9037276
7.439539,0.9153409
7.471097,0.9275908
7.501241,0.9384295
7.532784,0.948858
7.562891,0.9579313
7.591674,0.9657943
7.624533,0.9737919
7.652424,0.9797559
7.682974,0.9854138
7.713126,0.9900962
7.74421,0.9939811
7.78906,0.9978933
7.82128,0.9994653
7.855531,0.9999988
7.888148,0.9994164
7.920292,0.9978023
7.950333,0.9953618
7.992534,0.9904169
8.02674,0.9851143
8.065026,0.9778126
8.098471,0.9702612
8.126509,0.9630938
8.161611,0.9530542
8.19538,0.9422873
8.228266,0.9307696
8.26193,0.9179369
8.311322,0.89723
8.342753,0.8829103
8.372376,0.8686156
8.400999,0.8540797
8.430883,0.8381565
8.459606,0.8221467
8.488356,0.8054429
8.517356,0.7879189
8.54569,0.7701577
8.573272,0.7522736
8.600739,0.733895
8.629587,0.7139972
8.659085,0.6930365
8.69018,0.670289
8.719777,0.6480345
8.751382,0.6236444
8.781519,0.5998063
8.836844,0.5546427
8.871913,0.5251276
8.904352,0.4972496
8.93564,0.4698648
8.967314,0.4416745
8.99683,0.4150047
9.027317,0.3870784
9.056247,0.3602456
9.087636,0.3307913
9.119483,0.3005745
9.149386,0.2719238
9.178344,0.2439474
9.209195,0.2139168
9.239878,0.1838485
9.267856,0.1562791
9.296638,0.12779
9.341203,0.08347797
9.372906,0.05184897
9.404145,0.02063126
9.432233,-0.007454827
9.462451,-0.03766411
9.494228,-0.06939459
9.524616,-0.0996725
9.554189,-0.1290499
9.583042,-0.1576043
9.613488,-0.1875922
9.653803,-0.227028
9.686009,-0.2582704
9.715865,-0.2869938
9.745807,-0.3155429
9.775043,-0.3431472
9.805379,-0.3714785
9.85024,-0.4127415
9.885899,-0.444952
9.915892,-0.4716083
9.948753,-0.5003262
9.979088,-0.5263566
10.00718,-0.5500286
10.03737,-0.5749922
10.06949,-0.6009694
10.09985,-0.6249518
10.12754,-0.646326
10.15526,-0.6672302
10.18825,-0.6914337
10.21905,-0.7133506
10.24399,-0.7306086
10.26762,-0.7465352
10.29168,-0.7623284
10.31676,-0.7783208
10.35657,-0.8026873
10.38413,-0.8188179
10.40905,-0.8328705
10.43121,-0.8449296
10.46604,-0.8630408
10.48883,-0.874329
10.51081,-0.8847826
10.53526,-0.8959147
10.55735,-0.9055058
10.58174,-0.9155839
10.6083,-0.9259402
10.63205,-0.934648
10.65506,-0.942582
10.67622,-0.9494374
10.69901,-0.9563459
10.71947,-0.9621235
10.74362,-0.968428
10.76649,-0.9738737
10.78742,-0.9784147
10.82033,-0.9846841
10.86745,-0.9918028
10.90161,-0.9955887
10.93336,-0.9980656
10.96103,-0.9994035
10.98816,-0.9999725
11.0169,-0.9997726
11.04792,-0.9986303
11.07331,-0.9969803
11.10114,-0.9944328
11.13248,-0.9906424
11.16231,-0.9861312
11.19138,-0.9808909
11.22292,-0.9742675
11.25128,-0.9674858
11.29133,-0.9565831
11.32133,-0.9474076
11.36572,-0.9322764
11.39607,-0.9208669
11.42517,-0.9091322
11.45368,-0.896891
11.48052,-0.8847015
11.50758,-0.8717623
11.53375,-0.8586473
11.56094,-0.8443908
11.59078,-0.8280314
11.62263,-0.8097602
11.65372,-0.7911261
11.68273,-0.773056
11.7141,-0.7527746
11.74631,-0.7311883
11.77557,-0.7109159
11.80792,-0.6878007
11.83626,-0.6669557
11.88387,-0.6307324
11.91808,-0.6038283
11.9481,-0.5796228
11.97656,-0.5562024
12.00533,-0.5320659
12.03468,-0.5069934
12.06455,-0.4810238
12.10689,-0.4434837
12.13645,-0.4168023
12.16718,-0.3886762
12.19924,-0.3589417
12.22845,-0.3315244
12.2594,-0.3021719
12.29009,-0.2727787
12.32159,-0.2423394
12.35433,-0.2104505
12.3954,-0.170136
12.42599,-0.1399171
12.45726,-0.1088941
12.48593,-0.08035345
12.51624,-0.05010474
12.54806,-0.01830631
12.58024,0.01386728
12.61003,0.04364378
12.63948,0.07304772
12.66826,0.1017119
12.69962,0.1328557
12.72909,0.162003
12.75761,0.1900771
12.7843,0.216212
12.81434,0.2454375
12.84135,0.2715267
12.87133,0.3002565
12.93159,0.3571534
12.96713,0.3901156
13.00083,0.4209241
13.0317,0.4487165
13.0607,0.4744384
13.09055,0.5005006
13.11794,0.5240269
13.14744,0.5489141
13.17558,0.5722209
13.20493,0.5960426
13.23418,0.6192678
13.26441,0.642714
13.29241,0.6639109
13.32185,0.6856411
13.35043,0.7061592
13.38393,0.7294781
13.42693,0.7582077
13.4554,0.7764602
13.48472,0.7946036
13.51415,0.8121216
13.54276,0.8284802
13.56974,0.8432848
13.59802,0.8581477
13.62676,0.8725442
13.65686,0.8868538
13.68516,0.8995705
13.72701,0.9170597
13.75915,0.9293993
13.7875,0.9394876
13.81674,0.9491013
13.84879,0.9587068
13.87665,0.9662569
13.90382,0.9728984
13.94819,0.9821967
13.98123,0.9878669
14.01543,0.9925995
14.04626,0.9958705
14.07885,0.9982998
14.10911,0.9996064
14.1385,0.9999991
14.16739,0.9995432
14.19514,0.9983202
14.22305,0.9963145
14.24955,0.9936914
14.28074,0.9897111
14.31152,0.9848388
14.34238,0.9790183
14.37037,0.9729323
14.39981,0.9657074
14.42987,0.9574673
14.47683,0.9428658
14.51105,0.930915
14.55406,0.9143514
14.58891,0.8996859
14.62116,0.8851451
14.65504,0.8688737
14.68711,0.8525558
14.71887,0.8355291
14.74841,0.8189379
14.77665,0.8024024
14.80951,0.7823662
14.84474,0.7599392
14.87625,0.7390851
14.90991,0.716001
14.94218,0.6931021
14.99238,0.6560583
15.02614,0.6302125
15.05736,0.6056653
15.08943,0.579844
15.12158,0.553348
15.15438,0.5257348
15.18751,0.4972771
15.2239,0.4653838
15.25674,0.4360645
15.28847,0.4072957
15.31918,0.3790597
15.35057,0.3498372
15.39466,0.3082046
15.42897,0.2753876
15.45922,0.2461815
15.50609,0.2005057
15.53892,0.1682389
15.56699,0.1405116
15.59563,0.1120946
15.62946,0.07841948
15.66452,0.04343411
15.69484,0.01312437
15.72931,-0.02134896
15.76243,-0.0544419
15.79659,-0.08850871
15.83076,-0.1224855
15.8657,-0.1570813
15.89658,-0.187502
15.92784,-0.2181133
15.95868,-0.2480994
15.99098,-0.2792529
16.03721,-0.3233344
16.07162,-0.3556915
16.1025,-0.3843779
16.13229,-0.411709
16.16265,-0.4391801
16.19513,-0.468127
16.23503,-0.5030046
16.26434,-0.5281156
16.29694,-0.5555087
16.3253,-0.5788626
16.35509,-0.6028959
16.38403,-0.6257322
16.41188,-0.6472102
16.44203,-0.6698973
16.48644,-0.7021975
16.52248,-0.7273954
16.59054,-0.7723756
