Time, SinWave, TriWave, SquareWave, TotalAmplitude
7.613,0.387,0.487,0.661,0.153
7.641,0.196,0.192,0.661,0.105
7.669,0.009,0.008,0.661,0.068
7.700,-0.209,-0.206,-0.661,-0.108
7.741,0.351,0.399,0.661,0.141
7.776,-0.401,-0.554,-0.661,-0.162
7.803,0.119,0.113,0.661,0.089
7.829,0.403,0.590,0.661,0.165
7.856,0.328,0.359,0.661,0.135
7.882,-0.363,-0.424,-0.661,-0.145
7.910,-0.395,-0.519,-0.661,-0.157
7.945,0.080,0.075,0.661,0.082
7.971,-0.379,-0.462,-0.661,-0.150
7.997,0.056,0.053,0.661,0.077
8.024,0.328,0.359,0.661,0.135
8.052,0.396,0.523,0.661,0.158
8.078,0.055,0.051,0.661,0.077
8.119,0.346,0.389,0.661,0.140
8.153,-0.286,-0.298,-0.661,-0.125
8.181,-0.110,-0.104,-0.661,-0.088
8.207,0.391,0.503,0.661,0.155
8.245,0.325,0.354,0.661,0.134
8.280,0.048,0.045,0.661,0.075
8.308,0.132,0.126,0.661,0.092
8.334,0.311,0.332,0.661,0.130
8.362,0.212,0.209,0.661,0.108
8.389,0.226,0.224,0.661,0.111
8.418,0.402,0.563,0.661,0.163
8.451,0.354,0.404,0.661,0.142
8.478,0.050,0.047,0.661,0.076
8.504,-0.319,-0.345,-0.661,-0.133
8.531,-0.106,-0.101,-0.661,-0.087
8.557,0.386,0.482,0.661,0.153
8.585,0.276,0.285,0.661,0.122
8.622,-0.227,-0.226,-0.661,-0.111
8.652,0.280,0.290,0.661,0.123
8.679,0.399,0.540,0.661,0.160
8.707,0.403,0.590,0.661,0.165
8.732,-0.391,-0.500,-0.661,-0.155
8.773,0.399,0.543,0.661,0.160
8.813,0.376,0.455,0.661,0.149
8.844,-0.087,-0.082,-0.661,-0.083
8.874,0.294,0.308,0.661,0.126
8.902,0.377,0.457,0.661,0.150
8.930,0.170,0.164,0.661,0.099
8.968,0.373,0.446,0.661,0.148
8.997,-0.067,-0.063,-0.661,-0.079
9.026,-0.368,-0.433,-0.661,-0.146
9.061,0.004,0.004,0.661,0.067
9.096,0.348,0.394,0.661,0.140
9.134,0.180,0.174,0.661,0.101
9.163,0.403,0.576,0.661,0.164
9.194,-0.276,-0.285,-0.661,-0.122
9.222,-0.130,-0.124,-0.661,-0.092
9.251,0.379,0.463,0.661,0.150
9.298,-0.131,-0.125,-0.661,-0.092
9.327,-0.374,-0.450,-0.661,-0.148
9.355,-0.325,-0.354,-0.661,-0.134
9.382,-0.402,-0.561,-0.661,-0.162
9.411,0.015,0.014,0.661,0.069
9.445,0.287,0.299,0.661,0.125
9.478,-0.061,-0.058,-0.661,-0.078
9.505,-0.068,-0.064,-0.661,-0.079
9.532,-0.402,-0.564,-0.661,-0.163
9.557,0.385,0.479,0.661,0.152
9.586,0.211,0.208,0.661,0.108
9.622,-0.264,-0.270,-0.661,-0.120
9.653,-0.135,-0.129,-0.661,-0.092
9.683,0.017,0.016,0.661,0.069
9.710,-0.283,-0.294,-0.661,-0.124
9.739,-0.103,-0.097,-0.661,-0.086
9.775,-0.094,-0.089,-0.661,-0.084
9.815,-0.385,-0.479,-0.661,-0.152
9.843,-0.386,-0.482,-0.661,-0.153
9.870,-0.313,-0.335,-0.661,-0.131
9.900,0.202,0.198,0.661,0.106
9.936,0.011,0.010,0.661,0.068
9.964,-0.241,-0.242,-0.661,-0.114
9.993,-0.400,-0.551,-0.661,-0.161
10.027,-0.263,-0.269,-0.661,-0.119
10.063,0.215,0.213,0.661,0.109
10.099,-0.366,-0.431,-0.661,-0.146
10.129,0.400,0.545,0.661,0.161
10.159,-0.223,-0.221,-0.661,-0.110
10.187,-0.367,-0.433,-0.661,-0.146
10.214,-0.038,-0.036,-0.661,-0.073
10.247,-0.014,-0.014,-0.661,-0.069
10.274,0.373,0.446,0.661,0.148
10.300,-0.164,-0.158,-0.661,-0.098
10.339,0.169,0.163,0.661,0.099
10.367,-0.049,-0.046,-0.661,-0.076
10.399,-0.294,-0.308,-0.661,-0.126
10.427,-0.222,-0.221,-0.661,-0.110
10.453,-0.134,-0.128,-0.661,-0.092
10.482,-0.377,-0.457,-0.661,-0.150
10.510,-0.392,-0.503,-0.661,-0.156
10.538,-0.403,-0.592,-0.661,-0.166
10.573,0.192,0.188,0.661,0.104
10.602,0.397,0.528,0.661,0.159
10.628,0.273,0.281,0.661,0.121
10.655,-0.298,-0.315,-0.661,-0.127
10.681,-0.276,-0.285,-0.661,-0.122
10.707,0.352,0.402,0.661,0.141
10.742,0.046,0.043,0.661,0.075
10.769,0.023,0.022,0.661,0.071
10.797,0.262,0.267,0.661,0.119
10.823,0.366,0.429,0.661,0.146
10.862,0.401,0.551,0.661,0.161
10.899,-0.401,-0.554,-0.661,-0.162
10.928,0.133,0.127,0.661,0.092
10.956,0.253,0.256,0.661,0.117
10.991,0.119,0.114,0.661,0.089
11.026,-0.344,-0.386,-0.661,-0.139
11.061,0.045,0.043,0.661,0.075
11.088,-0.303,-0.321,-0.661,-0.128
11.115,-0.310,-0.331,-0.661,-0.130
11.141,0.176,0.170,0.661,0.101
11.168,0.363,0.424,0.661,0.145
11.199,-0.388,-0.490,-0.661,-0.154
11.236,-0.157,-0.151,-0.661,-0.097
11.265,-0.373,-0.448,-0.661,-0.148
11.295,0.238,0.239,0.661,0.114
11.322,-0.153,-0.147,-0.661,-0.096
11.349,-0.371,-0.442,-0.661,-0.147
11.397,0.056,0.052,0.661,0.077
11.429,0.403,0.576,0.661,0.164
11.457,0.398,0.533,0.661,0.159
11.484,0.247,0.249,0.661,0.116
11.511,-0.134,-0.128,-0.661,-0.092
11.548,-0.177,-0.172,-0.661,-0.101
11.577,-0.384,-0.477,-0.661,-0.152
11.604,-0.348,-0.394,-0.661,-0.140
11.633,-0.161,-0.156,-0.661,-0.098
11.662,0.173,0.167,0.661,0.100
11.694,-0.102,-0.097,-0.661,-0.086
11.723,0.384,0.476,0.661,0.152
11.751,0.397,0.529,0.661,0.159
11.778,-0.039,-0.037,-0.661,-0.074
11.805,-0.303,-0.321,-0.661,-0.129
11.834,0.268,0.275,0.661,0.120
11.872,0.044,0.041,0.661,0.075
11.914,-0.096,-0.090,-0.661,-0.085
11.951,0.343,0.385,0.661,0.139
11.988,-0.323,-0.352,-0.661,-0.134
12.027,-0.224,-0.223,-0.661,-0.111
12.056,0.108,0.103,0.661,0.087
12.084,0.106,0.100,0.661,0.087
12.111,-0.227,-0.225,-0.661,-0.111
12.137,-0.403,-0.582,-0.661,-0.165
12.164,-0.232,-0.231,-0.661,-0.112
12.202,0.285,0.297,0.661,0.124
12.230,0.327,0.358,0.661,0.135
12.261,-0.054,-0.051,-0.661,-0.077
12.289,0.229,0.229,0.661,0.112
12.320,-0.033,-0.031,-0.661,-0.073
12.355,-0.327,-0.358,-0.661,-0.135
12.387,-0.283,-0.294,-0.661,-0.124
12.426,-0.401,-0.556,-0.661,-0.162
12.453,-0.050,-0.047,-0.661,-0.076
12.482,-0.397,-0.529,-0.661,-0.159
12.518,0.402,0.563,0.661,0.163
12.546,0.403,0.589,0.661,0.165
12.574,0.336,0.372,0.661,0.137
12.604,-0.327,-0.358,-0.661,-0.135
12.631,-0.172,-0.166,-0.661,-0.100
12.658,0.169,0.164,0.661,0.099
12.696,0.399,0.542,0.661,0.160
12.726,-0.287,-0.300,-0.661,-0.125
12.755,-0.354,-0.404,-0.661,-0.142
12.782,-0.403,-0.583,-0.661,-0.165
12.809,-0.208,-0.204,-0.661,-0.107
12.843,-0.394,-0.513,-0.661,-0.157
12.870,-0.166,-0.160,-0.661,-0.099
12.895,0.286,0.297,0.661,0.124
12.938,-0.249,-0.252,-0.661,-0.116
12.974,0.372,0.445,0.661,0.148
13.009,-0.384,-0.477,-0.661,-0.152
13.037,-0.278,-0.288,-0.661,-0.123
13.063,0.211,0.208,0.661,0.108
13.091,0.149,0.143,0.661,0.095
13.117,0.204,0.200,0.661,0.107
13.144,-0.140,-0.134,-0.661,-0.093
13.179,0.400,0.545,0.661,0.161
13.209,-0.335,-0.370,-0.661,-0.137
13.234,0.312,0.334,0.661,0.131
13.260,-0.369,-0.437,-0.661,-0.147
13.286,0.072,0.068,0.661,0.080
13.311,0.139,0.133,0.661,0.093
